*Ems1-240601
#命令名称；文本命令行（如有）；ID（10进制整数）；类型（1#命令名称；文本命令行（如有）；ID（10进制整数）；类型（1,2,3,4,5,6,16等）；地址（4字节整数）；数据长度（4字节长度）；
#数据类型（返回数据，0 Ushort;1:UFloat小数.;2byte;3Uint32;4string ;5  short; 6float;7int32                                         
#默认short；浮点数的矫正（浮点数；整数可以为1）；返回数据；返回结果
#0
有功输出率;0103400a0001;03;400a;0001;0;1  
EMS工作模式;010660010001;06;6001;0001;0;1   
远程心跳;010660010001;06;6002;0001;0;1  
并离网模式;010660010001;06;6003;0001;0;1  
有功功率;010660010001;06;6004;0001;0;1
#5离网交流电压;010660010001;06;6005;0001;0;1
离网交流频率;010660010001;06;6006;0001;0;1  
PCS开关机;010660010001;06;6007;0001;0;1  
BMS开关机;010660010001;06;6008;0001;0;1  
PCS故障恢复;010660010001;06;6009;0001;0;1  
#10
BMS故障恢复;010660010001;06;600A;0001;0;1  
有功输出率;010660010001;06;6020;0001;0;1  

